Name,Position,HS,City,State,Height,Inches,Weight,CompRating,Offerer,Year,NatRank,PosRank,StRank,Stars,CommittedTo,15,Place,lon,lat
Nick Cull,CB,Seminole County,Donalsonville,GA,5,11,175,0.8891,Florida,2022,396,40,35,3,Ole Miss,//247sports.com/player/nick-cull-46113833,"Seminole County, Donalsonville, GA",-84.87909110000001,31.0404625
Jarell Stinson,CB,Opelika,Opelika,AL,5,10,160,0.8843,Florida,2022,449,43,19,3,Ole Miss,//247sports.com/player/jarell-stinson-46102748,"Opelika, Opelika, AL",-85.3782795,32.6454116
Ja'Cari Henderson,CB,Seminole,Sanford,FL,6,0,160,0.8822,Florida,2022,468,45,60,3,UCF,//247sports.com/player/jacari-henderson-46086232,"Seminole, Sanford, FL",-81.269453,28.8028612
Andre Stewart,CB,North Cobb,Kennesaw,GA,6,0,169,0.8784,Florida,2022,531,50,53,3,Kentucky,//247sports.com/player/andre-stewart-46079848,"North Cobb, Kennesaw, GA",-84.64859829999999,34.0401304
Myles Pollard,CB,Ravenwood,Brentwood,TN,6,2,185,0.8742,Florida,2022,608,54,20,3,Michigan,//247sports.com/player/myles-pollard-46085804,"Ravenwood, Brentwood, TN",-86.7641754,35.9549865
Jamal Hood,CB,St. Frances Academy,Baltimore,MD,6,0,180,0.8709,Florida,2022,668,62,16,3,NA,//247sports.com/player/jamal-hood-46080423,"St. Frances Academy, Baltimore, MD",-76.6086697,39.302171
Jaquise Alexander,CB,Tampa Catholic,Tampa,FL,5,9,165,0.8588,Florida,2022,948,84,121,3,North Dakota State,//247sports.com/player/jaquise-alexander-46115454,"Tampa Catholic, Tampa, FL",-82.4774705,27.9874282
Avery Powell,CB,St. Peters Prep,Jersey City,NJ,5,9,170,0.8542,Florida,2022,NA,96,20,3,NA,//247sports.com/player/avery-powell-46101636,"St. Peters Prep, Jersey City, NJ",-74.0396695,40.71566019999999
Christian Harrison,CB,Woodward Academy,Atlanta,GA,6,0,183,0.8509,Florida,2022,NA,106,116,3,Tennessee,//247sports.com/player/christian-harrison-46114024,"Woodward Academy, Atlanta, GA",-84.44197989999999,33.6628164
Sonny Styles,S,Pickerington Central,Pickerington,OH,6,4,215,0.9938,Florida,2022,12,1,2,5,Ohio State,//247sports.com/player/sonny-styles-46103419,"Pickerington Central, Pickerington, OH",-82.7556,39.8765722
Jacoby Mathews,S,Ponchatoula,Ponchatoula,LA,6,2,193,0.9817,Florida,2022,39,2,3,4,Texas A&M,//247sports.com/player/jacoby-mathews-46082680,"Ponchatoula, Ponchatoula, LA",-90.4414762,30.4388041
Kamari Wilson,S,IMG Academy,Bradenton,FL,6,0,200,0.9807,Florida,2022,44,3,7,4,Florida,//247sports.com/player/kamari-wilson-46058753,"IMG Academy, Bradenton, FL",-82.605312,27.4408855
Sam McCall,S,Lake Gibson,Lakeland,FL,6,0,182,0.9791,Florida,2022,48,4,8,4,Florida State,//247sports.com/player/sam-mccall-46080648,"Lake Gibson, Lakeland, FL",-81.961664,28.1075308
Xavier Nwankpa,S,Southeast Polk,Des Moines,IA,6,2,200,0.9773,Florida,2022,53,5,1,4,Iowa,//247sports.com/player/xavier-nwankpa-46086140,"Southeast Polk, Des Moines, IA",-93.3993751,41.5710447
Zion Branch,S,Bishop Gorman,Las Vegas,NV,6,2,195,0.9758,Florida,2022,58,6,1,4,USC,//247sports.com/player/zion-branch-46058533,"Bishop Gorman, Las Vegas, NV",-115.3180831,36.0818382
Deyon Bouie,S,Bainbridge,Bainbridge,GA,5,11,185,0.9712,Florida,2022,68,7,7,4,Texas A&M,//247sports.com/player/deyon-bouie-46056593,"Bainbridge, Bainbridge, GA",-84.57546990000002,30.9037995
Bryce Anderson,S,West Brook,Beaumont,TX,6,0,190,0.9691,Florida,2022,77,8,12,4,Texas A&M,//247sports.com/player/bryce-anderson-46058493,"West Brook, Beaumont, TX",-94.1970687,30.0793255
Keon Sabb,S,IMG Academy,Bradenton,FL,6,2,200,0.9638,Florida,2022,84,9,12,4,Michigan,//247sports.com/player/keon-sabb-46081324,"IMG Academy, Bradenton, FL",-82.605312,27.4408855
Bryan Allen Jr.,S,Aledo,Aledo,TX,6,0,185,0.9506,Florida,2022,125,10,20,4,Texas,//247sports.com/player/bryan-allen-jr-46053225,"Aledo, Aledo, TX",-97.6022471,32.6959643
Isaac Thompson,S,St. Louis University,Saint Louis,MO,6,2,205,0.9205,Florida,2022,201,15,5,4,Missouri,//247sports.com/player/isaac-thompson-46058605,"St. Louis University, Saint Louis, MO",-90.23364079999999,38.6348237
Cristian Driver,S,Liberty Christian,Argyle,TX,5,11,185,0.9142,Florida,2022,225,18,36,4,Penn State,//247sports.com/player/cristian-driver-46076802,"Liberty Christian, Argyle, TX",-97.1910656,33.0834462
Myles Rowser,S,Belleville,Belleville,MI,6,0,185,0.9092,Florida,2022,248,20,4,4,Campbell,//247sports.com/player/myles-rowser-46058611,"Belleville, Belleville, MI",-83.4852133,42.2047619
Devin Moore,S,Naples,Naples,FL,6,3,190,0.9064,Florida,2022,265,21,29,4,Florida,//247sports.com/player/devin-moore-46085619,"Naples, Naples, FL",-81.7948103,26.1420358
Tre Donaldson,S,Florida State Univ. School,Tallahassee,FL,6,1,190,0.9043,Florida,2022,274,22,31,4,Auburn,//247sports.com/player/tre-donaldson-46101161,"Florida State Univ. School, Tallahassee, FL",-84.22253599999999,30.384023
Larry Turner-Gooden,S,Bishop Alemany,Mission Hills,CA,6,0,179,0.9039,Florida,2022,275,23,23,4,Texas,//247sports.com/player/larry-turner-gooden-46056208,"Bishop Alemany, Mission Hills, CA",-118.4612937,34.2749238
Markeith Williams,S,Evans,Orlando,FL,6,1,170,0.8998,Florida,2022,300,25,34,4,Miami,//247sports.com/player/markeith-williams-46098654,"Evans, Orlando, FL",-81.3748173,28.5775891
JaCorey Thomas,S,Boone,Orlando,FL,6,1,188,0.8958,Florida,2022,328,27,38,4,Georgia,//247sports.com/player/jacorey-thomas-46098685,"Boone, Orlando, FL",-81.36557859999999,28.5196591
JQ Hardaway,S,Central,Phenix City,AL,6,2,190,0.8941,Florida,2022,349,28,15,4,Cincinnati,//247sports.com/player/jq-hardaway-46085351,"Central, Phenix City, AL",-85.0395037,32.4849608
Jarred Kerr,S,Lexington,Lexington,TX,6,0,185,0.8914,Florida,2022,376,32,51,4,Texas A&M,//247sports.com/player/jarred-kerr-46100583,"Lexington, Lexington, TX",-97.0116515,30.4190974
Jaylin Marshall,S,Western,Fort Lauderdale,FL,6,3,190,0.8913,Florida,2022,377,33,48,4,Georgia Tech,//247sports.com/player/jaylin-marshall-46080131,"Western, Fort Lauderdale, FL",-80.13731740000001,26.1224386
Jake Pope,S,Buford,Buford,GA,6,1,190,0.8884,Florida,2022,403,34,38,3,Alabama,//247sports.com/player/jake-pope-46098355,"Buford, Buford, GA",-84.0043513,34.1206564
Emory Floyd,S,Hillgrove,Powder Springs,GA,6,0.5,165,0.8864,Florida,2022,425,37,45,3,South Carolina,//247sports.com/player/emory-floyd-46104097,"Hillgrove, Powder Springs, GA",-84.6672408,33.9260475
Alfonzo Allen,S,Miami Central,Miami,FL,5,10,185,0.8824,Florida,2022,465,43,58,3,Baylor,//247sports.com/player/alfonzo-allen-46084012,"Miami Central, Miami, FL",-80.19606569999999,25.7807228
JyVonte McClendon,S,Lake Gibson,Lakeland,FL,6,2,180,0.8795,Florida,2022,517,47,70,3,NA,//247sports.com/player/jyvonte-mcclendon-46094029,"Lake Gibson, Lakeland, FL",-81.961664,28.1075308
Edric Weldon,S,South Broward,Hollywood,FL,6,3,200,0.8736,Florida,2022,616,54,82,3,Campbell,//247sports.com/player/edric-weldon-46110371,"South Broward, Hollywood, FL",-80.1752229,25.9961319
